Transparent|透明
Stairs (Up)|階段（上り）
Stairs (Up)|階段（上り）
Stairs (Up)|階段（上り）
Stairs (Up)|階段（上り）
Metal Ladde|鉄ばしご
Rope Ladder|縄ばしご
Rope|ロープ
Hole|穴
Stairs (Down)|階段（下り）
Stairs (Down)|階段（下り）
Stairs (Down)|階段（下り）
Stairs (Down)|階段（下り）
Metal Ladde|鉄ばしご
Rope Ladder|縄ばしご
Rope|ロープ
Window|窓
Window|窓
Window|窓
Window (Ruins)|窓（廃墟）
Window (Demon Castle)|窓（魔王城）
Metal Ladder|鉄ばしご
Rope Ladder|縄ばしご
Rope|ロープ
Window|窓
Window|窓
Window|窓
Window (Ruins)|窓（廃墟）
Window (Demon Castle)|窓（魔王城）
Hole (Metal Ladder)|穴（鉄ばしご）
Hole (Rope Ladder)|穴（縄ばしご）
Hole (Rope)|穴（ロープ）
Window|窓
Window|窓
Window|窓
Stained Glass Window|ステンドグラス
Window|窓
Window|窓
Window|窓
Window|窓
Window|窓
Window|窓
Window|窓
Stained Glass Window|ステンドグラス
Window|窓
Window|窓
Window|窓
Window|窓
Chest|チェスト
Cabinet|キャビネット
Closet|クローゼット
Chest of Drawers|タンス
Dish Cabinet|食器棚
Wine Rack|ワインセラー
Bottle Shelf|ボトル棚
Bottle Shelf|ボトル棚
Chest|チェスト
Chest|チェスト
Closet|クローゼット
Chest of Drawers|タンス
Dish Cabinet|食器棚
Wine Rack|ワインセラー
Bottle Shelf|ボトル棚
Bottle Shelf|ボトル棚
Bread Shelf|パン棚
Sundries Shelf|雑貨棚
Sundries Shelf|雑貨棚
Sundries Shelf|雑貨棚
Medicine Shelf|薬品棚
Bookshelf|本棚
Bookshelf|本棚
Bookshelf|本棚
Bread Shelf|パン棚
Sundries Shelf|雑貨棚
Sundries Shelf|雑貨棚
Sundries Shelf|雑貨棚
Medicine Shelf|薬品棚
Bookshelf|本棚
Bookshelf|本棚
Bookshelf|本棚
Bed|ベッド
Large Bed|ダブルベッド
Large Bed|ダブルベッド
Large Bed|パイプベッド
Cheap Bed|粗末なベッド
